transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE
1 3rd n cubed,$\frac{1}{3}n^{3}$,https://www.youtube.com/watch?v=hjZhPczMkL4,One third and cute.,One third and cubed.
the sum of a i i equals 1 to n is a 1 plus a 2 plus dot dot dot plus a n,$\sum^{n}_{i=1}a_{i}=a_{1}+a_{2}+\cdots+a_{n}$,https://www.youtube.com/watch?v=hjZhPczMkL4,"The sum of Ai equals 1 to n is a1 plus a2 plus dot, dot, dot, plus a n.","The sum of a i, i equals 1 to n, is a 1 plus a 2 plus dot dot dot plus a n."
1 over n cubed times the sum i squared. i equals 1 to n,$\frac{1}{n^{3}}\sum_{i=1}^{n}{i}^{2}$,https://www.youtube.com/watch?v=hjZhPczMkL4,1 over n cubed times the sum i squared i equals 1 to n.,1 over n cubed times the sum i squared. i equals 1 to n.
b over n times i b over n squared,$\frac{b}{n}\times(\frac{ib}{n})^{2}$,https://www.youtube.com/watch?v=hjZhPczMkL4,b over n times i b over n squared.,b over n times i b over n squared.
b cubed over n cubed,$\frac{b^{3}}{n^{3}}$,https://www.youtube.com/watch?v=hjZhPczMkL4,Be cubed over n cubed.,b cubed over n cubed.
f of x is equal to x,$f(\mathbf{x})=\mathbf{x}$,https://www.youtube.com/watch?v=hjZhPczMkL4,f of x is equal to x.,f of x is equal to x.
f of x is x cubed,$\displaystyle f(x)=x^{3}$,https://www.youtube.com/watch?v=hjZhPczMkL4,"When f of x is x cubed,",When f of x is x cubed.
b minus a over n,$\frac{b-a}{n}$,https://www.youtube.com/watch?v=hjZhPczMkL4,B minus A over N.,b minus a over n.
e to the r times 1 minus t,$e^{r}(1 - t)$,https://www.youtube.com/watch?v=hjZhPczMkL4,e to the r times 1 minus t.,e to the r times 1 minus t.
i over 365 f of t dt,$\displaystyle \frac{i}{365}f(t)dt$,https://www.youtube.com/watch?v=hjZhPczMkL4,"I over 365 F of T, T.",i over 365 f of t dt.
f of b minus f of a,$\displaystyle f(b)-f(a)$,https://www.youtube.com/watch?v=1RLctDS2hUQ,F of B minus F of A.,f of b minus f of a.
b cubed over 3 minus a cubed over 3,$\frac{b^{3}}{3}-\frac{a^{3}}{3}$,https://www.youtube.com/watch?v=1RLctDS2hUQ,Be cubed over 3 minus a cubed over 3.,b cubed over 3 minus a cubed over 3.
minus cosine pi,$-\cos\pi$,https://www.youtube.com/watch?v=1RLctDS2hUQ,minus cosine pi.,Minus cosine pi.
x of b minus x of a,$x(b)-x(a)$,https://www.youtube.com/watch?v=1RLctDS2hUQ,of V minus x of A.,x of b minus x of a.
integral from 0 to 2pi of sine x dx,$\int_{0}^{2\pi}\sin xdx$,https://www.youtube.com/watch?v=1RLctDS2hUQ,integral from 0 to 2 pi of sine x dx.,Integral from 0 to 2 pi of sine x dx.
minus cosine 2pi,$-\cos2\pi$,https://www.youtube.com/watch?v=1RLctDS2hUQ,minus cosine 2 pi.,Minus cosine 2 pi.
minus the integral from b to a of f of x dx,$\displaystyle -\int_{b}^{a}f(x)dx$,https://www.youtube.com/watch?v=1RLctDS2hUQ,minus the integral from b to a of f of x d x.,minus the integral from b to a of f of x dx.
e to the b minus e to the zero,$e^{b}-e^{0}$,https://www.youtube.com/watch?v=1RLctDS2hUQ,e to the b minus e to the zero.,e to the b minus e to the 0.
the integral from 0 to b e to the x dx is greater than or equal to the integral from 0 to b 1 plus x dx,$\int_{0}^{b}e^xdx\geq\int_{0}^{b}(1 + x)dx$,https://www.youtube.com/watch?v=1RLctDS2hUQ,The integral from 0 to b e to the x dx is greater than or equal to the integral from 0 to b 1 plus x dx.,The integral from 0 to b e to the x dx is greater than or equal to the integral from 0 to b 1 plus x dx.
e to the b minus 1 is greater than or equal to b plus b squared over 2,$e^{b}-1\geq b+\frac{b^{2}}{2}$,https://www.youtube.com/watch?v=1RLctDS2hUQ,e to the b minus 1 is greater than or equal to b plus b squared over 2.,e to the b minus 1 is greater than or equal to b plus b
b greater than or equal to 0,$b\geq 0$,https://www.youtube.com/watch?v=1RLctDS2hUQ,be greater than or equal to 0.,be greater than or equal to 0.
u equals x cubed plus 2,$u=x^{3}+2$,https://www.youtube.com/watch?v=1RLctDS2hUQ,u equals x cubed plus 2.,u equals x cubed plus 2.
du is equal to 2x dx,$du\mathrel{\mathop{=}}2xdx$,https://www.youtube.com/watch?v=1RLctDS2hUQ,du is equal to 2x dx.,du is equal to 2x dx.
dx is equal to f of b minus f of a,$dx=f(b)-f(a)$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,dx is equal to f of b minus f of a.,dx is equal to f of b minus f of a.
one over b minus a ,$\frac{1}{b-a}$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,1 over b minus a.,1 over b minus a.
f of 4 minus f of 0 is equal to f prime of c times 4 minus 0,$f(4)-f(0)=f^{\prime}(c)(4 - 0)$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,f of 4 minus f of 0 is equal to f prime of c times 4 minus 0.,f of 4 minus f of 0 is equal to f' c times 4 minus 0.
1 over 1 plus c times 4,$\frac{1}{1 + c}(4)$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,1 over 1 plus c times 4.,1 over 1 plus c times 4.
 y equals one over one plus x,$y=\frac{1}{1+x}$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,y equals 1 over 1 plus x.,y equals 1 over 1 plus x.
dt over t squared,$\frac{dt}{t^{2}}$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,dT over T squared.,dt over t squared.
the integral from 0 to x of f of t dt,$\left(\int_{0}^{x}f(t)dt\right)$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,The integral from 0 to x of f of t dt.,The integral from 0 to x of f of t dt.
1 over t squared,$\frac{1}{t^2}$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,1 over t squared.,1 over t squared.
g of x is 1 minus 1 over x,$g(x)=1-\frac{1}{x}$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,GFX is 1-1 over X.,G of x is 1 minus 1 over x.
f prime of x is equal to g prime of x,$f^{\prime}(x)\mathrel{\mathop{}}=g^{\prime}(x)$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,of x is equal to g prime of x.,f prime of x is equal to g prime of x.
f of b minus f of a and that's equal to g of b plus c minus g of a plus c,$f(b)-f(a)\stackrel{{\scriptstyle\text{def}}}{{=}}g(b+c)-g(a+c)$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,f of b minus f of a. And that's equal to g of b plus c minus g of a plus c.,F of b minus f of a. And that's equal to g of b plus c minus g of a plus c.
f of x is equal to minus 1 over x,$\mathcal{f}(x)=-\frac{1}{x}$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,f of x is equal to minus 1 over x.,F of x is equal to minus 1 over x.
L of x equals the integral from 1 to x dt over t,$L(x)=\int_{1}^{x}\frac{dt}{t}$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,L of x equals the integral from 1 to x dT over T.,L of x equals the integral from 1 to x dt over t.
 integral from 0 to x of e to the minus t squared dt,$\int_{0}^{x}e^{-t^{2}}dt$,https://www.youtube.com/watch?v=Pd2xP5zDsRw,integral from 0 to x of e to the minus t squared dt.,Integral from 0 to x of e to the minus t squared dt.
the integral from x to 1 with a minus sign dt over 2,$\displaystyle \int_{x}^{1}{-}\frac{dt}{2}$,https://www.youtube.com/watch?v=_JXPe2J069c,"The integral from x to 1 with a minus sign, d t over 2.",The integral from x to 1 with a minus sign. dt over 2.
minus 2x e to the minus x squared,$-2xe^{-x^{2}}$,https://www.youtube.com/watch?v=_JXPe2J069c,minus 2x e to the minus x squared.,Minus 2x e to the minus x squared.
f prime of 0 is e to the minus 0 squared which is 1,$\displaystyle f^{\prime}(0)=e^{-0^{2}}=1$,https://www.youtube.com/watch?v=_JXPe2J069c,"f prime of 0 is e to the minus 0 squared, which is 1.","f' of 0 is e to the minus 0 squared, which is 1."
f of minus x is equal to minus f of x,$f(-x)=-f(x)$,https://www.youtube.com/watch?v=_JXPe2J069c,f of minus x is equal to minus f of x.,f of minus x is equal to minus f of x.
square root of pi over 2,$\sqrt{\pi}/{2}$,https://www.youtube.com/watch?v=_JXPe2J069c,square root of pi over 2.,The square root of pi over 2.
2 over the square root of pi times the integral from 0 to x e to the minus t squared dt,$\displaystyle \frac{2}{\sqrt{\pi}}\int_{0}^{x}e^{-t^{2}}dt$,https://www.youtube.com/watch?v=_JXPe2J069c,2 over the square root of pi times the integral from 0 to x e to the minus t squared dt.,2 over the square root of pi times the integral from 0 to x e to the minus t squared dt.
2 over the square root of pi,$\frac{2}{\sqrt{\pi}}$,https://www.youtube.com/watch?v=_JXPe2J069c,by 2 over the square root of pi.,by 2 over the square root of pi.
f of x minus g of x times dx,$(f(x)-g(x))dx$,https://www.youtube.com/watch?v=_JXPe2J069c,f of x minus g of x times dx.,f of x minus g of x times dx.
x equals y squared,$\displaystyle x=y^{2}$,https://www.youtube.com/watch?v=_JXPe2J069c,x equals y squared.,x equals y squared.
y equals x minus 2,$\displaystyle y=x-2$,https://www.youtube.com/watch?v=_JXPe2J069c,y equals x minus 2.,y equals x minus 2.
y squared minus y minus 2 is equal to 0,$y^{2}-y-2~{}=~{}0$,https://www.youtube.com/watch?v=_JXPe2J069c,y squared minus y minus 2 is equal to 0.,y squared minus y minus 2 is equal to 0.
y minus two times y plus one is equal to zero,$(y-2)(y+1)=0$,https://www.youtube.com/watch?v=_JXPe2J069c,y minus 2 times y plus 1 is equal to 0.,y minus 2 times y plus 1 is equal to 0.
y equals x minus 2,$\displaystyle y=x-2$,https://www.youtube.com/watch?v=_JXPe2J069c,y equals x minus 2.,y equals x minus 2.
x equals y squared,$\displaystyle x=y^{2}$,https://www.youtube.com/watch?v=_JXPe2J069c,x equals y squared.,x equals y squared.
y plus 2 minus y squared is equal to 0,$y+2-y^{2}~{}=~{}0$,https://www.youtube.com/watch?v=_JXPe2J069c,y plus 2 minus y squared is equal to 0.,y plus 2 minus y squared is equal to 0.
y squared over 2 plus 2y,$\frac{y^{2}}{2}+2y$,https://www.youtube.com/watch?v=_JXPe2J069c,y squared over 2 plus 2y.,y squared over 2 plus 2y.
pi y squared,$\pi y^{2}$,https://www.youtube.com/watch?v=ShGBRUx2ub8,Pi Y squared.,pi y squared.
a squared minus x squared minus two ax ,$a^{2}-x^{2}-2ax$,https://www.youtube.com/watch?v=ShGBRUx2ub8,A squared minus x squared minus 2ax.,a squared minus x squared minus 2ax.
2ax minus x squared,$2ax-x^{2}$,https://www.youtube.com/watch?v=ShGBRUx2ub8,2 Ax minus x squared.,2ax minus x squared.
pi times ax squared,$\pi ax^{2}$,https://www.youtube.com/watch?v=ShGBRUx2ub8,pi times a x squared.,Pi times ax squared.
12 3rds minus 8 3rds pi a cubed,$(\frac{12}{3}-\frac{8}{3})\pi a^{3}$,https://www.youtube.com/watch?v=ShGBRUx2ub8,12 thirds minus 8 thirds by a cubed.,12 thirds minus 8 thirds pi a cubed.
pi A x squared minus x cubed over 3,$\pi(ax^{2}-\frac{x^{3}}{3})$,https://www.youtube.com/watch?v=ShGBRUx2ub8,pi x squared minus x cubed over 3.,pi x squared minus x cubed over 3.
2 pi a x minus x cubed,$2\pi(ax-x^{3})$,https://www.youtube.com/watch?v=ShGBRUx2ub8,2 pi Ax minus x cubed.,2 pi ax minus x cubed.
x equals square root a,$x=\sqrt{a}$,https://www.youtube.com/watch?v=ShGBRUx2ub8,"Mexico Square, Ruta.",x equals square root a.
pi over 2a squared ,$\frac{\pi}{2a}^{2}$,https://www.youtube.com/watch?v=ShGBRUx2ub8,Pi over 2A squared.,Pi over 2a squared.
a hundred minus thirty y,$100-30{y}$,https://www.youtube.com/watch?v=ShGBRUx2ub8,100 minus 30 Y.,100 minus 30y.
delta x divided by b minus a is 1 over n,$\frac{\Delta x}{b-a}=\frac{1}{n}$,https://www.youtube.com/watch?v=R9a_NHXrBcg,Delta X divided by B-minus A is 1 over N.,"Delta x divided by B, when I say is 1 over n."
1 over b minus a the integral from a to b f of x dx,$\displaystyle \frac{1}{b-a}\int_{a}^{b}f(x)dx$,https://www.youtube.com/watch?v=R9a_NHXrBcg,"Whatever be my say the interval from A to B, F of X, DX.","1 over b minus a, the integral from a to b f of x dx."
the integral from negative 1 to 1 square root of 1 minus x squared dx,$\int_{-1}^{1}\sqrt{1-x^{2}}dx$,https://www.youtube.com/watch?v=R9a_NHXrBcg,"The integral from negative 1 to 1, square root of 1 minus x squared ds.","The integral from negative 1 to 1, square root of 1 minus x squared dx."
pi over 4,$\frac{\pi}{4}$,https://www.youtube.com/watch?v=R9a_NHXrBcg,High over four.,High over four.
negative one over pi times cosine pi,$-\frac{1}{\pi}\cos\pi$,https://www.youtube.com/watch?v=R9a_NHXrBcg,negative 1 over pi times cosine pi.,Negative 1 over pi times cosine pi.
y equals x squared,$\displaystyle y=x^{2}$,https://www.youtube.com/watch?v=R9a_NHXrBcg,Y equals that squared.,y equals x squared.
pi x squared,$\pi x^{2}$,https://www.youtube.com/watch?v=R9a_NHXrBcg,pi x squared.,pi x squared.
a hundred pi y minus 30 pi y squared,$100\pi y-30\pi y^{2}$,https://www.youtube.com/watch?v=R9a_NHXrBcg,100 pi y minus 30 pi y squared.,100 pi y minus 30 pi y squared.
y less than x less than 1 minus x squared,$y<x<1-x^{2}$,https://www.youtube.com/watch?v=R9a_NHXrBcg,to y less than x less than 1 minus x squared.,y less than x less than 1- x squared.
y is equal to 1 minus x squared,$y=1-x^{2}$,https://www.youtube.com/watch?v=R9a_NHXrBcg,y is equal to 1 minus x squared.,y is equal to 1 minus x squared.
two pi r,$\displaystyle 2\pi r$,https://www.youtube.com/watch?v=jBkXbAgMj6s,2 pi r.,2 pi r.
minus pi e to the minus r squared,$-\pi e^{-r^{2}}$,https://www.youtube.com/watch?v=jBkXbAgMj6s,minus pi e to the minus r squared.,Minus pi e to the minus r squared.
two pi r e to the minus r squared,$2\pi re^{-r^{2}}$,https://www.youtube.com/watch?v=jBkXbAgMj6s,2 pi r e to the minus r squared.,2 pi r e to the minus r squared.
c pi times e to the minus r one squared minus e to the minus r two squared,$\displaystyle c\pi(e^{-r_{1}^{2}}-e^{-r_{2}^{2}})$,https://www.youtube.com/watch?v=jBkXbAgMj6s,c pi times e to the minus r1 squared minus e to the minus r2 squared.,c pi times e to the minus r1 squared minus e to the minus r2 squared.
1 minus e to the minus a squared,$1-e^{-a^{2}}$,https://www.youtube.com/watch?v=jBkXbAgMj6s,1 minus e to the minus a squared.,1 minus e to the minus a squared.
a half to the fourth power minus a half to the ninth power,$(1/2)^{4}-(1/2)^{9}$,https://www.youtube.com/watch?v=jBkXbAgMj6s,to the fourth power minus a half to the ninth power.,1 0 to the 1 2 power minus 1 0 to the 1 2 power.
y n minus 2 plus y n minus 1 over 2,$\displaystyle \frac{y_{n-2}+y_{n-1}}{2}$,https://www.youtube.com/watch?v=jBkXbAgMj6s,y n minus 2 plus y n minus 1 over 2.,y n minus 2 plus y n minus 1 over 2.
y zero plus four y one plus y two divided by six,$(y_{0}+4y_{1}+y_{2})/6$,https://www.youtube.com/watch?v=jBkXbAgMj6s,y0 plus 4y1 plus y2 divided by 6.,"y0 plus 4y1 plus y2, divided by 6."
y2 plus 4y3 plus y4 divided by 6,$(y_2 + 4y_3 + y_4)\over 6$,https://www.youtube.com/watch?v=jBkXbAgMj6s,y2 plus 4 y3 plus y4 divided by 6.,y2 plus 4y3 plus y4 divided by 6.
2y n minus 2 4 yn 1 yn,$2y_{n - 2}+4y_{n - 1}+y_n$,https://www.youtube.com/watch?v=jBkXbAgMj6s,"2, y n minus 2 plus 4, y n minus 1 plus y n.","2yn-2, plus 4yn-1, plus yn."
cosine of two theta is cosine square root of theta minus the sine squre root of theta,$\cos(2\theta)=\cos^{2}(\theta)-\sin^{2}(\theta)$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,cosine of 2 theta is cosine squared of theta minus the sine squared of theta.,Cosine of 2 theta is cosine square root of theta minus the sine square root of theta.
cosine squared theta minus the sin squared of theta,$\cos^{2}\theta-\sin^{2}\theta$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,cosine squared theta minus the sine squared of theta.,Cosine squared theta minus the sine squared of theta.
cosine squared of theta minus the quantity 1 minus cosine squared of theta,$\cos^{2}(\theta)-(1-\cos^{2}(\theta)) $,https://www.youtube.com/watch?v=Bv9kVDcj7yo,The cosine squared of theta minus the quantity one minus cosine squared of theta.,The cosine square root of theta minus the quantity 1 minus cosine square root of theta.
sine squared of theta is 1 minus cosine of 2 theta divided by 2,$\sin^{2}(\theta)=(1-\cos(2\theta))\over 2$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,The sine squared of theta is 1 minus cosine of 2 theta divided by 2.,"The sine squared of theta is 1 minus cosine of 2 theta, divided by 2."
integrals of the form sine to the nth power of x cosine to the nth power of x dx,$\displaystyle \int \sin^{n}(x) \cos^{m}(x)dx $,https://www.youtube.com/watch?v=Bv9kVDcj7yo,Integrals of the form sign to the nth power of x cosine to the nth power of x.,"Integrals of the form sine to the nth power of x, cosine to the nth power of x. dx."
sine to the nth power of x times the cosine of x ,$\sin ^{n}(x)\cos (x)$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,sine to the nth power of x times the cosine of x.,Sine to the nth power of x times the cosine of x.
u to the n plus one,$\mathcal{u}^{n+1}$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,U to the n plus 1.,u to the n plus 1.
minus u cubed over three,$-u^{3}\over 3$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,minus u cubed over 3.,minus u cubed over 3.
minus cosine cubed of x over three,$-\cos^{3}(x)\over 3 $,https://www.youtube.com/watch?v=Bv9kVDcj7yo,minus cosine cubed of x over 3.,minus cosine cubed of x over 3.
u minus u cubed over 3,$u-\frac{u^{3}}{3}$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,u minus u cubed over 3.,u minus u cubed over 3.
cosine of x plus cosine cubed of x over three,$\cos(x)+ {\cos^{3}(x)\over 3}$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,And get cosine of x plus cosine cubed of x over 3.,And get cosine of x plus cosine cubed of x over 3.
one plus the coisine of two theta over two,$\frac{1+\cos(2\theta)}{2}$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,1 plus the cosine of 2 theta over 2.,1 plus the cosine of 2 theta over 2.
sine squared times cosine squared,$\sin^{2}\cos^{2}$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,sine squared times cosine squared.,sine squared times cosine squared.
a minus b times a plus b is a squared minus b squared,$(a-b)(a+b)= a^{2}-b^{2}$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,A minus b times a plus b is a squared minus b squared.,a minus b times a plus b is a squared minus b squared.
a quarter minus one eighth,$\frac{1}{4}-\frac{1}{8}$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,Quarter minus an eighth.,Quarter minus an eighth.
one half sine of two x squared,$\frac{1}{2}\sin^{2}(2x)$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,1 half sine of 2x squared.,1 over 2x squared.
1 quarter of 1 minus the cosine of 4x divided by 2, $\frac{1}{4}(\frac{1 - \cos(4x)}{2})$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,1 1 1 minus the cosine of 4x divided by 2.,1 1⁄4 of 1 minus the cosine of 4x divided by 2.
y equals a sin theta,$y=a\sin \theta$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,y equals a sine theta.,y equals a sine theta.
sine of 2 theta is twice the sine of theta times the cosine of theta, $\sin(2\theta)=2\sin(\theta)\cos(\theta)$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,The sine of two theta is twice the sine of theta times the cosine of theta.,The sine of 2 theta is twice the sine of theta times the cosine of theta.
sine of theta cosine of theta over 2,$\frac{\sin(\theta)\cos(\theta)}{2}$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,cosine of theta over 2.,sin of theta cosine of theta over 2.
square root of a squared minus y squared,$\sqrt{a^{2}-y^{2}}$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,The square root of a squared minus y squared.,The square root of a squared minus y squared.
a squared theta over 2 ,$a^{2}\theta \over2$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,"A squared, laid over two.",a squared theta over 2.
the arcsine of y over a divided by two,$\frac{\arcsin(\frac{y}{a})}{2}$.,https://www.youtube.com/watch?v=Bv9kVDcj7yo,The arc sign of Y-A divided by 2.,The arc sine of y over a divided by 2.
